"Idcode","NOM_ENT_1","NOM_MUN_1","Tmean_MayOct","Precipmean_MayOct","Precipsum_MayOct","MedianAlt_med","Slope_mod","aplt2010","yldclass","acos2010","aper2010","aper10.","prod2010","rend2010","prec2010","valo2010"
"16014","Michoacán de Ocampo","Coahuayana",27.3209700346804,136.01096146887,136.01096146887,55,9.22988605499268,700,4,700,0,0,2256.1,3.22,3503.49,7904.23
"14001","Jalisco","Acatic",20.7580481214308,134.599542460117,134.599542460117,1727,1.46520984172821,7500,4,7500,0,0,24219.45,3.23,2080,50376.46
"16034","Michoacán de Ocampo","Hidalgo",16.0682492096046,176.971273950249,176.971273950249,2454.23413085938,4.91244888305664,6285,4,6285,0,0,20275.72,3.23,3000,60827.17
"14067","Jalisco","Puerto Vallarta",27.6556671057392,200.904939986418,200.904939986418,35.5,4.13241481781006,180,4,180,0,0,582.55,3.24,3000,1747.65
"15062","México","Ocoyoacac",13.0368093121498,154.197709902085,154.197709902085,2859,6.15841245651245,4505,4,4505,0,0,14596,3.24,3000,43788
"15115","México","Xonacatlán",14.2604320318632,139.243011683823,139.243011683823,2666.35992431641,6.93311405181885,1700.4,4,1405.4,295,0.173488591,4567.5,3.25,2800,12789
"14071","Jalisco","San Cristóbal de la Barranca",24.0653234090873,135.232079460988,135.232079460988,1266.5,16.7211513519287,1779,4,1779,0,0,5805.77,3.26,2700,15675.57
"12023","Guerrero","Cuajinicuilapa",27.5567829567846,198.69413544407,198.69413544407,48.141731262207,0.256232798099518,1756,4,1500,256,0.145785877,4975.5,3.32,2580.65,12840.02
"14089","Jalisco","Techaluta de Montenegro",19.2013119757175,116.993347215652,116.993347215652,1584.82543945312,10.1827526092529,365,4,365,0,0,1210.71,3.32,2949.99,3571.58
"16064","Michoacán de Ocampo","Parácuaro",27.6157952352016,126.610569930456,126.610569930456,476.45858001709,6.92492580413818,1458,4,1458,0,0,4836.19,3.32,2861.47,13838.6
"15012","México","Atizapán",14.4189033167703,138.377167293004,138.377167293004,2693.83685302734,0.939636409282684,498.3,4,308.3,190,0.381296408,1033,3.35,2950,3047.35
"04005","Campeche","Hecelchakán",27.1424215363802,160.792558832644,160.792558832644,87.8298568725586,0.806678593158722,14515.5,4,14515.5,0,0,49153.6,3.39,2500,122884
"15022","México","Cocotitlán",16.7783522288005,105.330153401693,105.330153401693,2420.54382324219,0.25941589474678,1060,4,1060,0,0,3614.6,3.41,3300,11928.18
"12044","Guerrero","Mochitlán",24.1021818559866,216.788632630774,216.788632630774,1012.75,13.5516939163208,2360,4,2360,0,0,8078.11,3.42,3030,24476.69
"21074","Puebla","Huejotzingo",16.248011603686,124.615326318084,124.615326318084,2284.5,1.74791789054871,3723,4,3723,0,0,12747.55,3.42,3800,48440.7
"30192","Veracruz de Ignacio de la Llave","Vega de Alatorre",26.134691731306,173.441393813267,173.441393813267,16.8726654052734,6.46993780136108,160,4,150,10,0.0625,513.6,3.42,3000,1540.8
"07110","Chiapas","San Lucas",23.3665958404541,183.166949539185,183.166949539185,853.371704101562,15.4395799636841,2981,4,2981,0,0,10217.28,3.43,3000,30651.84
"12034","Guerrero","Huitzuco de los Figueroa",25.2281541454353,141.894120787686,141.894120787686,1074,3.91957592964172,8945,4,8945,0,0,30807.44,3.44,3000,92422.32
"12017","Guerrero","Cocula",26.0178540957668,147.946390151978,147.946390151978,847.614196777344,17.4061241149902,3798,4,3798,0,0,13123.55,3.46,2800,36745.94
